44.44%,3,3
77.78%,5,5
55.56%,4,4
55.56%,4,4
55.56%,6,6
44.44%,3,3
55.56%,4,4
77.78%,4,4
55.56%,4,4
66.67%,3,3
